"","name","friendlyName","dimensions","friendlyName_with_dimensions"
"124","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='MIS',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='MIS',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='MIS',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"125","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='NMI',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='NMI',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='NMI',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"126","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='NPI',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='NPI',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='NPI',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"127","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='PIN',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='PIN',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='PIN',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"128","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='PIW',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='PIW',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='PIW',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"129","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='PMI',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='PMI',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='PMI',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"130","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='RES',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='RES',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='RES',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"131","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='RTR',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='RTR',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='RTR',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"132","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='SPU',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='SPU',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='SPU',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
"133","netdata:XSMFRj26ES:EDv743y5Y9:ECpLuCvjcP_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='THR',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='THR',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='THR',family='interrupts',instance='[fc57:6ada:8852:d2b2:2a44:5a84:ace2:99aa]:19999',job='netdata'}"
