"","timestamp","netdata:7R1uvgJkiZ:LSV6CW7FrZ:d26qWBB8b0_users_cpu_system_cpu_time___average{chart='users.cpu_system',dimension='netdata',family='cpu',instance='[fcef:ef08:3ddd:601a:3805:acf7:df34:ea8f]:19999',job='netdata'}{chart='users.cpu_system',dimension='netdata',family='cpu',instance='[fcef:ef08:3ddd:601a:3805:acf7:df34:ea8f]:19999',job='netdata'}"
"188","1551359850.781","0.26654"
"189","1551359910.781","0.28812"
"190","1551359970.781","0.39896"
"191","1551360030.781","0.32045"
"192","1551360090.781","0.38333"
"193","1551360150.781","0.52438"
"194","1551360210.781","0.47891"
"195","1551360270.781","0.34341"
"196","1551360330.781","0.49746"
"197","1551360390.781","0.21811"
"198","1551360450.781","0.20347"
"199","1551360510.781","0.34155"
"200","1551360570.781","0.45631"
"201","1551360630.781","0.2096"
"202","1551360690.781","0.28702"
"203","1551360750.781","0.38073"
"204","1551360810.781","0.49018"
"205","1551360870.781","0.2404"
"206","1551360930.781","0.28341"
"207","1551360990.781","0.35344"
"208","1551361050.781","0.22941"
"209","1551361110.781","0.25498"
"210","1551361170.781","0.42459"
"211","1551361230.781","0.26359"
"212","1551361290.781","0.4585"
"213","1551361350.781","0.36986"
"214","1551361410.781","0.43955"
"215","1551361470.781","0.16946"
"216","1551361530.781","0.43696"
"217","1551361590.781","0.45915"
"218","1551361650.781","0.23778"
"219","1551361710.781","0.39973"
"220","1551361770.781","0.46134"
"221","1551361830.781","1.21236"
"222","1551361890.781","0.88301"
"223","1551361950.781","0.58131"
"224","1551362010.781","0.43206"
"225","1551362070.781","0.59702"
"226","1551362130.781","0.35043"
"227","1551362190.781","0.37494"
"228","1551362250.781","0.49681"
"229","1551362310.781","0.32572"
"230","1551362370.781","0.48237"
"231","1551362430.781","0.44275"
"232","1551362490.781","0.71646"
"233","1551362550.781","0.4062"
"234","1551362610.781","0.50649"
"235","1551362670.781","0.41593"
"236","1551362730.781","0.22737"
"237","1551362790.781","0.36954"
"238","1551362850.781","0.36067"
"239","1551362910.781","0.26949"
"240","1551362970.781","0.31662"
"241","1551363030.781","0.32451"
"242","1551363090.781","0.26624"
"243","1551363150.781","0.43282"
"244","1551363210.781","0.30955"
"245","1551363270.781","0.37963"
"246","1551363330.781","0.4307"
"247","1551363390.781","0.37342"
"248","1551363450.781","0.39023"
"249","1551363510.781","0.26093"
"250","1551363570.781","0.20943"
"251","1551363630.781","0.77139"
"252","1551363690.781","0.63186"
"253","1551363750.781","0.46653"
"254","1551363810.781","0.60546"
"255","1551363870.781","0.81697"
"256","1551363930.781","0.69521"
"257","1551363990.781","0.57126"
"258","1551364050.781","0.50351"
"259","1551364110.781","0.6925"
"260","1551364170.781","0.8615"
"261","1551364230.781","0.59441"
"262","1551364290.781","0.56705"
"263","1551364350.781","0.47047"
"264","1551364410.781","0.72872"
"265","1551364470.781","0.39399"
"266","1551364530.781","0.51638"
"267","1551364590.781","0.66185"
"268","1551364650.781","0.74723"
"269","1551364710.781","0.75805"
"270","1551364770.781","0.63436"
"271","1551364830.781","0.38919"
"272","1551364890.781","0.61626"
"273","1551364950.781","0.82103"
"274","1551365010.781","0.53304"
"275","1551365070.781","0.91099"
"276","1551365130.781","0.76596"
"277","1551365190.781","0.64703"
"278","1551365250.781","0.5985"
"279","1551365310.781","0.33557"
"280","1551365370.781","0.66173"
"281","1551365430.781","0.64335"
"282","1551365490.781","0.53162"
"283","1551365550.781","0.62716"
"284","1551365610.781","0.76302"
"285","1551365670.781","0.65132"
"286","1551365730.781","0.78824"
"287","1551365790.781","0.56313"
"288","1551365850.781","0.88772"
"289","1551365910.781","0.44342"
"290","1551365970.781","0.58611"
"291","1551366030.781","0.48693"
"292","1551366090.781","0.57884"
"293","1551366150.781","0.47306"
"294","1551366210.781","0.57386"
"295","1551366270.781","0.51959"
"296","1551366330.781","0.66951"
"297","1551366390.781","0.49146"
"298","1551366450.781","0.61302"
"299","1551366510.781","0.37171"
"300","1551366570.781","0.56311"
"301","1551366630.781","0.65521"
"302","1551366690.781","0.63274"
"303","1551366750.781","0.54115"
"304","1551366810.781","0.51514"
"305","1551366870.781","0.69186"
"306","1551366930.781","0.78154"
"307","1551366990.781","0.52662"
"308","1551367050.781","0.66616"
"309","1551367110.781","0.66396"
"310","1551367170.781","0.65113"
"311","1551367230.781","0.59644"
"312","1551367290.781","0.68964"
"313","1551367350.781","0.54677"
"314","1551367410.781","0.39155"
"315","1551367470.781","0.469"
"316","1551367530.781","0.45183"
"317","1551367590.781","0.37705"
"318","1551367650.781","0.45841"
"319","1551367710.781","0.50582"
"320","1551367770.781","0.70476"
"321","1551367830.781","0.4312"
"322","1551367890.781","0.53326"
"323","1551367950.781","0.49905"
"324","1551368010.781","0.56977"
"325","1551368070.781","0.66235"
"326","1551368130.781","0.60475"
"327","1551368190.781","0.6662"
"328","1551368250.781","0.46681"
"329","1551368310.781","0.56689"
"330","1551368370.781","0.54247"
"331","1551368430.781","0.21725"
"332","1551368490.781","0.5551"
"333","1551368550.781","0.32978"
"334","1551368610.781","0.45977"
"335","1551368670.781","0.26659"
"336","1551368730.781","0.38037"
"337","1551368790.781","0.49586"
"338","1551368850.781","0.21689"
"339","1551368910.781","0.34709"
"340","1551368970.781","0.21607"
"341","1551369030.781","0.22996"
"342","1551369090.781","0.46057"
"343","1551369150.781","0.10035"
"344","1551369210.781","0.38527"
"345","1551369270.781","0.36561"
"346","1551369330.781","0.37377"
"347","1551369390.781","0.51177"
"348","1551369450.781","0.37535"
"349","1551369510.781","0.39169"
"350","1551369570.781","0.53556"
"351","1551369630.781","0.24969"
"352","1551369690.781","0.3519"
"353","1551369750.781","0.72655"
"354","1551369810.781","0.70482"
"355","1551369870.781","0.71381"
"356","1551369930.781","0.5112"
"357","1551369990.781","0.69348"
"358","1551370050.781","0.97878"
"359","1551370110.781","0.53341"
"360","1551370170.781","0.64819"
"361","1551370230.781","1.02648"
