"","name","friendlyName","dimensions","friendlyName_with_dimensions"
"22","netdata:jmSRafpAkY:Gi2E9NYbxy:X2eHHQdkBW_net_packets_packets_persec_average{chart='net_packets.ens3',dimension='multicast',family='ens3',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","Packets (net_packets.eth0)","{chart='net_packets.ens3',dimension='multicast',family='ens3',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","Packets (net_packets.eth0){chart='net_packets.ens3',dimension='multicast',family='ens3',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}"
"23","netdata:jmSRafpAkY:Gi2E9NYbxy:X2eHHQdkBW_net_packets_packets_persec_average{chart='net_packets.ens3',dimension='received',family='ens3',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","Packets (net_packets.eth0)","{chart='net_packets.ens3',dimension='received',family='ens3',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","Packets (net_packets.eth0){chart='net_packets.ens3',dimension='received',family='ens3',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}"
"24","netdata:jmSRafpAkY:Gi2E9NYbxy:X2eHHQdkBW_net_packets_packets_persec_average{chart='net_packets.ens3',dimension='sent',family='ens3',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","Packets (net_packets.eth0)","{chart='net_packets.ens3',dimension='sent',family='ens3',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","Packets (net_packets.eth0){chart='net_packets.ens3',dimension='sent',family='ens3',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}"
"25","netdata:jmSRafpAkY:Gi2E9NYbxy:X2eHHQdkBW_net_packets_packets_persec_average{chart='net_packets.tun0',dimension='multicast',family='tun0',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","Packets (net_packets.eth0)","{chart='net_packets.tun0',dimension='multicast',family='tun0',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","Packets (net_packets.eth0){chart='net_packets.tun0',dimension='multicast',family='tun0',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}"
"26","netdata:jmSRafpAkY:Gi2E9NYbxy:X2eHHQdkBW_net_packets_packets_persec_average{chart='net_packets.tun0',dimension='received',family='tun0',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","Packets (net_packets.eth0)","{chart='net_packets.tun0',dimension='received',family='tun0',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","Packets (net_packets.eth0){chart='net_packets.tun0',dimension='received',family='tun0',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}"
"27","netdata:jmSRafpAkY:Gi2E9NYbxy:X2eHHQdkBW_net_packets_packets_persec_average{chart='net_packets.tun0',dimension='sent',family='tun0',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","Packets (net_packets.eth0)","{chart='net_packets.tun0',dimension='sent',family='tun0',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","Packets (net_packets.eth0){chart='net_packets.tun0',dimension='sent',family='tun0',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}"
"28","netdata:jmSRafpAkY:Gi2E9NYbxy:X2eHHQdkBW_net_packets_packets_persec_average{chart='net_packets.veth312079f',dimension='multicast',family='veth312079f',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","Packets (net_packets.eth0)","{chart='net_packets.veth312079f',dimension='multicast',family='veth312079f',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","Packets (net_packets.eth0){chart='net_packets.veth312079f',dimension='multicast',family='veth312079f',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}"
"29","netdata:jmSRafpAkY:Gi2E9NYbxy:X2eHHQdkBW_net_packets_packets_persec_average{chart='net_packets.veth312079f',dimension='received',family='veth312079f',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","Packets (net_packets.eth0)","{chart='net_packets.veth312079f',dimension='received',family='veth312079f',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","Packets (net_packets.eth0){chart='net_packets.veth312079f',dimension='received',family='veth312079f',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}"
"30","netdata:jmSRafpAkY:Gi2E9NYbxy:X2eHHQdkBW_net_packets_packets_persec_average{chart='net_packets.veth312079f',dimension='sent',family='veth312079f',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","Packets (net_packets.eth0)","{chart='net_packets.veth312079f',dimension='sent',family='veth312079f',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","Packets (net_packets.eth0){chart='net_packets.veth312079f',dimension='sent',family='veth312079f',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}"
"31","netdata:jmSRafpAkY:Gi2E9NYbxy:X2eHHQdkBW_system_interrupts_interrupts_persec_average{chart='system.interrupts',dimension='CAL',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts)","{chart='system.interrupts',dimension='CAL',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}","System interrupts (system.interrupts){chart='system.interrupts',dimension='CAL',family='interrupts',instance='[fca7:9e35:c403:630f:939a:ecb3:9cef:b487]:19999',job='netdata'}"
